time,PWM0,PWM1,PWM2,PWM3,ActivationTime
2.800000,38082,38576,38119,38222,0.016865
2.805000,38037,38710,38138,38148,0.017483
2.810000,38218,38441,38090,38452,0.017040
2.815000,38096,38712,38049,38113,0.017126
2.820000,38036,38520,38332,38335,0.016926
2.825000,38016,38791,38161,38149,0.016792
2.830000,38018,38604,38184,38298,0.017076
2.835000,38069,38761,38050,38104,0.017099
2.840000,38103,38533,38147,38306,0.017003
2.845000,37973,38596,38296,38363,0.016947
2.850000,38098,38743,38175,38112,0.017026
2.855000,38185,38705,37975,38203,0.017150
2.860000,37946,38702,38270,38151,0.017050
2.865000,37969,38562,38322,38379,0.017450
2.870000,38230,38596,38073,38299,0.019327
2.875000,37981,38594,38314,38276,0.016917
2.880000,37988,38716,38185,38321,0.016800
2.885000,38145,38799,38104,38095,0.017106
2.890000,38098,38553,38228,38268,0.016919
2.895000,38121,38743,38110,38192,0.016891
2.900000,38029,38643,38186,38254,0.016809
2.905000,37970,38834,38128,38127,0.017157
2.910000,37987,38403,38388,38598,0.016975
2.915000,38130,38995,37954,37801,0.017073
2.920000,38067,38555,38174,38318,0.017091
2.925000,38001,38745,38165,38172,0.016790
2.930000,38045,38632,38286,38240,0.016634
2.935000,38100,38727,38075,38192,0.016880
2.940000,38015,38592,38333,38327,0.016886
2.945000,38056,38869,38105,38088,0.016754
2.950000,38121,38611,38170,38231,0.016899
2.955000,38083,38524,38286,38507,0.017055
2.960000,38013,38937,38107,38005,0.016839
2.965000,38086,38875,38021,38102,0.016829
2.970000,37955,38487,38428,38453,0.016855
2.975000,38191,38751,38137,38153,0.016681
2.980000,38165,38886,37963,38097,0.016920
2.985000,37929,38702,38412,38220,0.017173
2.990000,38047,38684,38225,38256,0.016756
2.995000,38119,38861,38061,38047,0.016834
3.000000,38067,38516,38288,38411,0.016991
3.005000,38202,38955,37919,38083,0.017266
3.010000,37869,38800,38379,38143,0.016812
3.015000,38003,38507,38387,38555,0.016856
3.020000,38343,38886,37936,37960,0.016981
3.025000,37962,38837,38337,38115,0.016881
3.030000,37987,38631,38316,38481,0.016828
3.035000,38098,39099,37878,37964,0.017331
3.040000,38012,38488,38381,38522,0.017006
3.045000,38212,38845,38108,38048,0.017026
3.050000,38178,38783,37986,38218,0.016755
3.055000,38022,38744,38311,37987,0.017057
3.060000,38120,38683,38181,38326,0.016920
3.065000,38013,38808,38256,38245,0.016863
3.070000,38065,38993,38130,37979,0.016865
3.075000,38093,38697,38230,38304,0.017602
3.080000,38117,38844,38105,38078,0.016703
3.085000,38105,38685,38241,38270,0.016818
3.090000,37965,38866,38345,38294,0.016990
3.095000,38193,38858,38047,38137,0.016742
3.100000,37984,38848,38266,38089,0.017159
3.105000,38104,38731,38283,38257,0.016881
3.110000,38159,38880,38033,38178,0.016769
3.115000,38025,38703,38359,38352,0.016505
3.120000,38284,38785,37998,38155,0.016857
3.125000,37973,38845,38328,38207,0.016804
3.130000,38046,38742,38237,38442,0.017207
3.135000,38158,38979,38097,37974,0.016817
3.140000,38188,38719,38194,38233,0.017127
